abandon*
agoniz*
agony
alone
bereave*
broke
cried
cries
crushed
cry
crying
depress*
depriv*
despair*
devastat*
disappoint*
discouraq*
dishearten*
disillusion*
doom*
dull
emptier

emptiest
emptiness
empty
fail*
fatigu*
flunk*
gloom
gloomier
gloomiest
gloomily
gloominess
gloomy
grave*
grief
griev*
grim
grimly
heartbreak*
heartbroke*
helpless*
homesick*
hopeless*
hurt*
inadequa*
inferior
inferiority
isolat*
lame
lamely
lameness
lamer
lamest
lone
lonelier
loneliest

loneliness
lonely
loner*
longing*
lose
loser*
loses
losing
loss*
lost
low
lower
